mimic_value,omop_concept_id,omop_concept_name
WHITE,8527,White
BLACK/AFRICAN AMERICAN,8516,Black or African American
ASIAN,8515,Asian
ASIAN - CHINESE,8515,Asian
ASIAN - KOREAN,8515,Asian
ASIAN - SOUTH EAST ASIAN,8515,Asian
AMERICAN INDIAN/ALASKA NATIVE,8657,American Indian or Alaska Native
HISPANIC/LATINO,38003563,Hispanic or Latino
HISPANIC/LATINO - DOMINICAN,38003563,Hispanic or Latino
HISPANIC/LATINO - PUERTO RICAN,38003563,Hispanic or Latino
HISPANIC/LATINO - COLUMBIAN,38003563,Hispanic or Latino
BLACK/CAPE VERDEAN,8516,Black or African American
BLACK/CARIBBEAN ISLAND,8516,Black or African American
WHITE - RUSSIAN,8527,White
WHITE - EASTERN EUROPEAN,8527,White
WHITE - OTHER EUROPEAN,8527,White
PORTUGUESE,8527,White
OTHER,0,Unknown
UNKNOWN,0,Unknown 